FID,FOREST,GAZETTED,area,Shape__Area,Shape__Length
119,MOUNT KENYA,Gazetted,1986677645.4,1999994624.60838,564502.608597893
120,MAJI MAZURI,Gazetted,77944862.4,78265195.3058645,65295.0741408305
121,TINDERET,Gazetted,281277123.8,282320674.549835,129722.282013205
122,OL BOLOSSAT,Gazetted,32594626.5,32769164.7949934,35303.6562932996
123,BONJOGE,Gazetted,9623065,9640019.56067681,16492.5039257343
124,ABERDARES,Gazetted,101846307,102420935.44015,82894.0210168149
125,MOUNT LONDIANI,Gazetted,300933065,302209959.874567,140252.592398011
126,KIAGU,Gazetted,13540838.7,13637852.217618,16417.2026294996
127,BAHATI,Gazetted,100718741.3,101238604.785795,77621.3136883312
128,KILOMBE HILL,Gazetted,15311623.4,15379790.5928822,19119.4370701212
129,MURUAI,Community,837989.5,842616.158218384,5442.68409807503
130,MURUAI,Community,3964031,3986053.78996658,28787.0016011435
131,KIKINGO,Gazetted,11968710,12056141.0951672,14490.4087888974
132,MURUAI,Community,2345930.1,2358955.45654678,11745.2263555529
133,SOUTH LAIKIPIA,Gazetted,7892069.8,7939217.63541794,11831.5907811631
134,MAATHA,Gazetted,6289314.2,6335215.00044632,11448.329871318
135,THUNGURU HILL,Gazetted,5515440.1,5553801.27930069,13645.3605173314
136,WESTERN MAU,Gazetted,227124538.5,228003723.331085,129648.859289829
137,SOUTH LAIKIPIA,Gazetted,26979078.3,27140896.3926849,27000.0320612252
138,KIRIMA,Community,5105392.5,5134036.19430542,30440.761421898
139,MENENGAI,Gazetted,57217694.7,57499127.1941605,36230.1032166878
140,LONDIANI,Gazetted,1053846.7,1058044.84117889,5269.76147012717
141,NTUGI,Gazetted,13788611.9,13887959.2964783,14585.7102967661
142,ABERDARES,Gazetted,113678831.7,114351542.71843,53673.0918280949
143,MUTEJWA,Gazetted,13116042.8,13211943.7259674,16495.7241474913
144,NJUGUNI,Gazetted,19771555.6,19912163.1193695,23326.1394248979
145,ABERDARES,Gazetted,813911891.4,818833732.90593,285103.896791118
146,KIJEGE,Gazetted,32871493.2,33109246.9494476,27995.8797479026
147,WEST MOLO,Gazetted,2760521.3,2772175.73680115,7512.51965785795
148,NAKURU,Gazetted,6291441.3,6322439.53788757,11784.5052028664
149,MOLO,Gazetted,9135652,9174624.78144836,17644.3412871063
150,MUTHARANGA,Gazetted,2917369.9,2938359.92516327,6755.24074788
151,LUSOI,Gazetted,2666699.1,2683534.95877075,6534.73767159691
152,EASTERN MAU,Gazetted,659210703.5,662234618.800766,206794.551781406
153,MUNGUNI,Gazetted,1884122.7,1897679.95323181,5266.42301424709
154,SOUTH WEST MAU,Gazetted,840117332.1,843290676.663376,192126.787258306
155,KIERERA,Gazetted,7736873.2,7792861.37527466,10672.4706662384
156,KIGANJO,Gazetted,1710867.6,1721737.08056641,14062.7619760636
157,NYERI,Gazetted,12089097.3,12165276.8291016,17369.2784589807
158,KIPIPIRI,Gazetted,50600299.8,50889594.9045105,29965.4574803593
159,KIRIMIRI,Community,1735602.5,1747657.80482483,5979.43482910657
160,MURINGATO NURSERY,Gazetted,243366.6,244897.274917603,2354.63133180767
161,NYERI HILL,Gazetted,1995990.4,2008457.6040802,6766.16284607428
162,NYERI MUNICIPAL,Gazetted,117253.7,117991.307922363,2646.44103629168
163,MUUMONI,Community,109767463.1,110570055.54512,49139.1526727177
164,GEMBE HILLS,Gazetted,27212732.4,27228929.1712341,28890.27996778
165,NJUKIINI EAST,Community,1093746,1101252.60533142,6192.02463312034
166,NJUKIINI WEST,Community,1944134.6,1957462.79655457,6062.76951845534
167,MARANGA,Community,2368430.5,2385021.65359497,7641.48861216609
168,KIANGOMBE,Community,14198457.7,14299589.1247101,16660.1941286374
169,RANGWE (KAKSINGRI),Community,10126669.8,10130921.7784271,14164.2223824246
170,GAIKUYU,Gazetted,32421238.3,32659405.3721008,22557.8076198599
171,GWASI,Gazetted,49671698.5,49695411.163147,43385.2363787477
172,MAU NAROK,Gazetted,8081450.6,8120593.72506714,20130.5276965364
173,TRANSMARA,Gazetted,344049537.4,345411628.030106,81754.5817787252
174,OL PUSIMORU,Gazetted,170463932.2,171213140.214325,65136.2098899089
175,LAMBWE,Community,24585710.4,24606551.7358704,44877.9357048158
176,EBURU,Gazetted,87117192.1,87575362.0503845,39152.6466285744
